"language","page","question","answer","link_label","destination"
"en","/sourcing-services/","Do I need a China sourcing agent or a freight forwarder?","Use sourcing support when the product, supplier, sample or purchase configuration still needs to be chosen. Use freight support when the goods and supplier are already agreed and you need collection, export and transport. If both are needed, define where the approved buying order becomes the shipping instruction.","See the sourcing-to-shipping process →","/how-we-work/"
"en","/sourcing-services/","Can you inspect and consolidate goods I bought from my own suppliers?","Send the supplier list, order references, ready dates and inspection requirements. Existing orders can be reviewed for inspection and consolidation without restarting supplier search. Confirm receiving, checks and release responsibilities before suppliers dispatch.","Plan consolidation for existing orders →","/sourcing-services/consolidation-export/"
"en","/sourcing-services/","What should I send for a supplier search and quotation comparison?","Provide a product reference, intended use, specification, quantities by variant, target market and delivery requirements. A useful comparison separates the machine or product configuration, included accessories, packing and service scope so a lower price can be evaluated on the same basis.","Prepare a supplier comparison brief →","/sourcing-services/supplier-search/"
"en","/sourcing-services/","Are the product price, sourcing service and shipping cost the same quotation?","They are different cost lines. Confirm the selected product and quantity, packaging, inspection or sourcing work, transport and destination scope. Published product references do not establish a complete delivered price for every market.","Request an itemised sourcing scope →","/get-a-quote/?leadGoal=Product+Sourcing&source=sourcing_decisions"
"en","/products/","Can I source a mixed product order from China?","Choose the products and variants first, then list quantity and supplier readiness for each line. A mixed order needs compatible packing and shipment documents. Confirm whether the selected products can travel together before treating one consolidated shipment as the lowest-cost option.","Review multi-supplier consolidation →","/sourcing-services/consolidation-export/"
"en","/products/","How do I choose a wholesale range or a project equipment package?","A wholesale range needs repeatable models, an appropriate assortment and reorder information. A restaurant project starts with the menu, available space, utilities and an equipment schedule. A food-preparation package covers a defined production step and does not automatically include cooking, cold storage or installation.","Plan an equipment range for distributors →","/sourcing/kitchen-equipment-for-distributors/"
"en","/products/","What should I compare before buying machinery from China?","Match the intended ingredient or process to the model, then confirm capacity, electrical supply, guards, attachments, cleaning access and packaging. Compare the approved configuration and scope rather than assuming two similar-looking machines are interchangeable.","Compare machinery models and buying notes →","/sourcing/food-processing-machinery-from-china/"
"en","/products/","Can I check packing and export requirements before placing the product order?","Yes: include the destination, requested receiving point and any shipment restrictions in the initial brief. Ask for packed dimensions, gross weight and handling information before choosing a freight mode or estimating shipping costs.","Check LCL packing and delivery requirements →","/services/lcl-shipping-from-china/"
"en","/how-we-work/","When should I approve the sample and specifications?","Use the supplier comparison to select a sample or configuration for review. Record the agreed model, materials, accessories, packing and acceptance checks before production proceeds against that approval. An attractive quotation alone is not a release decision.","Review supplier selection and samples →","/sourcing-services/supplier-search/"
"en","/how-we-work/","What happens if a pre-shipment inspection finds differences?","Keep the findings tied to the order and agreed checklist. Record the discrepancy, supporting evidence and proposed correction, then obtain the buyer’s decision before release. A report records the condition checked; it does not make unresolved exceptions disappear.","Understand inspection outputs and limits →","/sourcing-services/inspection-quality-control/"
