base,kind,available_route_count,available_languages,missing_languages,scope,body_review
/screen-protectors/calculator/,product,8,"en,zh-cn,es,ar,ru,fr,pt,tr",,required: eight languages,route inventory only; see rendered-text review and functional verification
/screen-protectors/guides/,product,8,"en,zh-cn,es,ar,ru,fr,pt,tr",,required: eight languages,route inventory only; see rendered-text review and functional verification
/screen-protectors/guides/price-differences/,product,8,"en,zh-cn,es,ar,ru,fr,pt,tr",,required: eight languages,route inventory only; see rendered-text review and functional verification
/screen-protectors/guides/curved-glass/,product,8,"en,zh-cn,es,ar,ru,fr,pt,tr",,required: eight languages,route inventory only; see rendered-text review and functional verification
/screen-protectors/videos/,product,8,"en,zh-cn,es,ar,ru,fr,pt,tr",,required: eight languages,route inventory only; see rendered-text review and functional verification
/sourcing/food-processing-machinery-from-china/,product,8,"en,zh-cn,es,ar,ru,fr,pt,tr",,required: eight languages,route inventory only; see rendered-text review and functional verification
/sourcing/food-processing-machinery-from-china/dough-and-bakery-machinery/,product,8,"en,zh-cn,es,ar,ru,fr,pt,tr",,required: eight languages,route inventory only; see rendered-text review and functional verification
/sourcing/food-processing-machinery-from-china/meat-processing-machinery/,product,8,"en,zh-cn,es,ar,ru,fr,pt,tr",,required: eight languages,route inventory only; see rendered-text review and functional verification
/sourcing/food-processing-machinery-from-china/vegetable-processing-machinery/,product,8,"en,zh-cn,es,ar,ru,fr,pt,tr",,required: eight languages,route inventory only; see rendered-text review and functional verification
/sourcing/food-processing-machinery-from-china/bean-rice-and-juice-machinery/,product,8,"en,zh-cn,es,ar,ru,fr,pt,tr",,required: eight languages,route inventory only; see rendered-text review and functional verification
/sourcing/food-processing-machinery-from-china/packages/noodles/,product,8,"en,zh-cn,es,ar,ru,fr,pt,tr",,required: eight languages,route inventory only; see rendered-text review and functional verification
/sourcing/food-processing-machinery-from-china/packages/bakery/,product,8,"en,zh-cn,es,ar,ru,fr,pt,tr",,required: eight languages,route inventory only; see rendered-text review and functional verification
/sourcing/food-processing-machinery-from-china/packages/meat-prep/,product,8,"en,zh-cn,es,ar,ru,fr,pt,tr",,required: eight languages,route inventory only; see rendered-text review and functional verification
/sourcing/food-processing-machinery-from-china/packages/meatballs/,product,8,"en,zh-cn,es,ar,ru,fr,pt,tr",,required: eight languages,route inventory only; see rendered-text review and functional verification
/sourcing/food-processing-machinery-from-china/packages/vegetables/,product,8,"en,zh-cn,es,ar,ru,fr,pt,tr",,required: eight languages,route inventory only; see rendered-text review and functional verification
/sourcing/food-processing-machinery-from-china/packages/bean-rice/,product,8,"en,zh-cn,es,ar,ru,fr,pt,tr",,required: eight languages,route inventory only; see rendered-text review and functional verification
/sourcing/mobile-accessories-from-china/,product,8,"en,zh-cn,es,ar,ru,fr,pt,tr",,required: eight languages,route inventory only; see rendered-text review and functional verification
/phone-cases/,product,8,"en,zh-cn,es,ar,ru,fr,pt,tr",,required: eight languages,route inventory only; see rendered-text review and functional verification
/phone-cases/materials-and-pricing/,product,8,"en,zh-cn,es,ar,ru,fr,pt,tr",,required: eight languages,route inventory only; see rendered-text review and functional verification
/phone-straps-charms/,product,8,"en,zh-cn,es,ar,ru,fr,pt,tr",,required: eight languages,route inventory only; see rendered-text review and functional verification
/screen-protectors/,product,8,"en,zh-cn,es,ar,ru,fr,pt,tr",,required: eight languages,route inventory only; see rendered-text review and functional verification
/screen-protectors/compare/,product,8,"en,zh-cn,es,ar,ru,fr,pt,tr",,required: eight languages,route inventory only; see rendered-text review and functional verification
/sourcing/kitchen-equipment-for-distributors/,product,8,"en,zh-cn,es,ar,ru,fr,pt,tr",,required: eight languages,route inventory only; see rendered-text review and functional verification
/sourcing/restaurant-project-equipment/,product,8,"en,zh-cn,es,ar,ru,fr,pt,tr",,required: eight languages,route inventory only; see rendered-text review and functional verification
/screen-protectors/wholesale-for-stores/,product,8,"en,zh-cn,es,ar,ru,fr,pt,tr",,required: eight languages,route inventory only; see rendered-text review and functional verification
/screen-protectors/private-label/,product,8,"en,zh-cn,es,ar,ru,fr,pt,tr",,required: eight languages,route inventory only; see rendered-text review and functional verification
/sourcing/commercial-ice-machines-from-china/,product,8,"en,zh-cn,es,ar,ru,fr,pt,tr",,required: eight languages,route inventory only; see rendered-text review and functional verification
/sourcing/commercial-electric-fryers-from-china/,product,8,"en,zh-cn,es,ar,ru,fr,pt,tr",,required: eight languages,route inventory only; see rendered-text review and functional verification
/sourcing/commercial-electric-griddles-from-china/,product,8,"en,zh-cn,es,ar,ru,fr,pt,tr",,required: eight languages,route inventory only; see rendered-text review and functional verification
/,core,8,"en,zh-cn,es,ar,ru,fr,pt,tr",,required: eight languages,route inventory only; see rendered-text review and functional verification
/how-we-work/,core,8,"en,zh-cn,es,ar,ru,fr,pt,tr",,required: eight languages,route inventory only; see rendered-text review and functional verification
/insights/,core,8,"en,zh-cn,es,ar,ru,fr,pt,tr",,required: eight languages,route inventory only; see rendered-text review and functional verification
/services/sea-freight/,freight,8,"en,zh-cn,es,ar,ru,fr,pt,tr",,required: eight languages,route inventory only; see rendered-text review and functional verification
/services/lcl-shipping-from-china/,freight,8,"en,zh-cn,es,ar,ru,fr,pt,tr",,required: eight languages,route inventory only; see rendered-text review and functional verification
/services/dangerous-goods-shipping-from-china/,freight,8,"en,zh-cn,es,ar,ru,fr,pt,tr",,required: eight languages,route inventory only; see rendered-text review and functional verification
/services/air-freight/,freight,8,"en,zh-cn,es,ar,ru,fr,pt,tr",,required: eight languages,route inventory only; see rendered-text review and functional verification
/services/amazon-fba/,freight,8,"en,zh-cn,es,ar,ru,fr,pt,tr",,required: eight languages,route inventory only; see rendered-text review and functional verification
/services/warehouse-services/,freight,8,"en,zh-cn,es,ar,ru,fr,pt,tr",,required: eight languages,route inventory only; see rendered-text review and functional verification
/shipping-from-china-to-middle-east/,freight,8,"en,zh-cn,es,ar,ru,fr,pt,tr",,required: eight languages,route inventory only; see rendered-text review and functional verification
/shipping-from-china-to-central-asia/,freight,8,"en,zh-cn,es,ar,ru,fr,pt,tr",,required: eight languages,route inventory only; see rendered-text review and functional verification
/shipping-from-china-to-west-africa/,freight,8,"en,zh-cn,es,ar,ru,fr,pt,tr",,required: eight languages,route inventory only; see rendered-text review and functional verification
/shipping-from-china-to-latin-america/,freight,8,"en,zh-cn,es,ar,ru,fr,pt,tr",,required: eight languages,route inventory only; see rendered-text review and functional verification
/get-a-quote/,core,8,"en,zh-cn,es,ar,ru,fr,pt,tr",,required: eight languages,route inventory only; see rendered-text review and functional verification
/products/,product,8,"en,zh-cn,es,ar,ru,fr,pt,tr",,required: eight languages,route inventory only; see rendered-text review and functional verification
/sourcing-services/,sourcing-service,8,"en,zh-cn,es,ar,ru,fr,pt,tr",,required: eight languages,route inventory only; see rendered-text review and functional verification
/refrigeration-equipment/,product,8,"en,zh-cn,es,ar,ru,fr,pt,tr",,required: eight languages,route inventory only; see rendered-text review and functional verification
/sourcing/commercial-kitchen-equipment-from-china/,product,8,"en,zh-cn,es,ar,ru,fr,pt,tr",,required: eight languages,route inventory only; see rendered-text review and functional verification
/sourcing/restaurant-kitchen-packages-from-china/,product,8,"en,zh-cn,es,ar,ru,fr,pt,tr",,required: eight languages,route inventory only; see rendered-text review and functional verification
/sourcing/restaurant-kitchen-packages-from-china/takeaway-qsr/,product,8,"en,zh-cn,es,ar,ru,fr,pt,tr",,required: eight languages,route inventory only; see rendered-text review and functional verification
/sourcing/restaurant-kitchen-packages-from-china/cafe-light-meals/,product,8,"en,zh-cn,es,ar,ru,fr,pt,tr",,required: eight languages,route inventory only; see rendered-text review and functional verification
/sourcing/restaurant-kitchen-packages-from-china/casual-dining/,product,8,"en,zh-cn,es,ar,ru,fr,pt,tr",,required: eight languages,route inventory only; see rendered-text review and functional verification
/sourcing/restaurant-kitchen-packages-from-china/bakery-pastry/,product,8,"en,zh-cn,es,ar,ru,fr,pt,tr",,required: eight languages,route inventory only; see rendered-text review and functional verification
/sourcing/restaurant-kitchen-packages-from-china/pizza-shop/,product,8,"en,zh-cn,es,ar,ru,fr,pt,tr",,required: eight languages,route inventory only; see rendered-text review and functional verification
/sourcing/restaurant-kitchen-packages-from-china/cloud-kitchen/,product,8,"en,zh-cn,es,ar,ru,fr,pt,tr",,required: eight languages,route inventory only; see rendered-text review and functional verification
/sourcing/audio-speakers-from-china/,product,8,"en,zh-cn,es,ar,ru,fr,pt,tr",,required: eight languages,route inventory only; see rendered-text review and functional verification
/portable-power/selection-guide/,product,8,"en,zh-cn,es,ar,ru,fr,pt,tr",,required: eight languages,route inventory only; see rendered-text review and functional verification
/sourcing/outdoor-products-from-china/,product,8,"en,zh-cn,es,ar,ru,fr,pt,tr",,required: eight languages,route inventory only; see rendered-text review and functional verification
/sourcing-services/supplier-search/,sourcing-service,8,"en,zh-cn,es,ar,ru,fr,pt,tr",,required: eight languages,route inventory only; see rendered-text review and functional verification
/sourcing-services/inspection-quality-control/,sourcing-service,8,"en,zh-cn,es,ar,ru,fr,pt,tr",,required: eight languages,route inventory only; see rendered-text review and functional verification
/sourcing-services/consolidation-export/,sourcing-service,8,"en,zh-cn,es,ar,ru,fr,pt,tr",,required: eight languages,route inventory only; see rendered-text review and functional verification
