path,locale,intent,status,title,h1,opening,issues
/zh-cn/screen-protectors/calculator/,zh-cn,information,context-only,中国保护膜采购与到仓成本测算 | DDNZ,中国保护膜采购与到仓成本测算,中国保护膜采购与到仓成本测算 伊斯坦布尔／到仓成本 以伊斯坦布尔线路为参考，估算货值及从中国出厂至买方仓库的运输费用。最终价格取决于确认后的机型、包装和地址；其他目的地须另行报价。 参考日期：2026年9月11日 · USD 1 = CNY 6.6,
/es/screen-protectors/calculator/,es,information,context-only,Compra de protectores en China y coste puesto en destino | DDNZ,Compra de protectores en China y coste puesto en destino,"Compra de protectores en China y coste puesto en destino ESTAMBUL / COSTE HASTA EL DESTINO Utilice la referencia de Estambul para estimar el valor del producto y la entrega todo incluido de China al almacén del comprador. Los precios finales dependen de los modelos confirmados, el embalaje y la dirección; otros destinos necesitan una cotización separada. Datos de referencia: 11 de septiembre de 2026 · USD 1 = CNY 6,6",
/ar/screen-protectors/calculator/,ar,information,context-only,توريد واقيات الشاشة من الصين وحساب التكلفة حتى الوجهة | DDNZ,توريد واقيات الشاشة من الصين وحساب التكلفة حتى الوجهة,توريد واقيات الشاشة من الصين وحساب التكلفة حتى الوجهة إسطنبول / التكلفة حتى الوجهة استخدم مرجع إسطنبول لتقدير قيمة المنتجات والتوصيل الشامل من الصين إلى مستودع المشتري. يعتمد السعر النهائي على الطرازات والتغليف والعنوان المؤكد. تحتاج الوجهات الأخرى إلى عرض مستقل. بيانات مرجعية: 11 سبتمبر 2026 · USD 1 = CNY 6.6,
/ru/screen-protectors/calculator/,ru,information,context-only,Закупка защитных стёкол в Китае и расчёт стоимости доставки | DDNZ,Закупка защитных стёкол в Китае и расчёт стоимости доставки,"Закупка защитных стёкол в Китае и расчёт стоимости доставки СТАМБУЛ / СТОИМОСТЬ С ДОСТАВКОЙ Используйте Стамбульскую ссылку для оценки стоимости продукта и доставки из Китая на склад покупателя. Окончательная цена зависит от подтвержденных моделей, упаковки и адреса; другим пунктам назначения нужна отдельная котировка. Справочные данные: 11 сентября 2026 г. · USD 1 = CNY 6,6",
/fr/screen-protectors/calculator/,fr,information,context-only,Achat de protections d’écran en Chine et coût rendu | DDNZ,Achat de protections d’écran en Chine et coût rendu,"Achat de protections d’écran en Chine et coût rendu ISTANBUL / COÛT RENDU Utilisez la référence d'Istanbul pour estimer la valeur du produit et la livraison tout compris de la Chine à l'entrepôt de l'acheteur. Le prix final dépend des modèles confirmés, de l'emballage et de l'adresse; d'autres destinations ont besoin d'un devis distinct. Données de référence : 11 septembre 2026 · USD 1 = CNY 6,6",
/pt/screen-protectors/calculator/,pt,information,context-only,Compra de películas na China e custo até o destino | DDNZ,Compra de películas na China e custo até o destino,"Compra de películas na China e custo até o destino ISTAMBUL / CUSTO ATÉ O DESTINO Use a referência de Istambul para estimar o valor dos produtos e a entrega completa da China ao armazém do comprador. O preço final depende dos modelos, da embalagem e do endereço confirmados. Outros destinos exigem uma cotação separada. Dados de referência: 11 de setembro de 2026 · USD 1 = CNY 6,6",
/tr/screen-protectors/calculator/,tr,information,context-only,Çin’den ekran koruyucu tedariki ve teslim maliyeti | DDNZ,Çin’den ekran koruyucu tedariki ve teslim maliyeti,"Çin’den ekran koruyucu tedariki ve teslim maliyeti İSTANBUL / TESLİM MALİYETİ Çin’den alıcının İstanbul’daki deposuna ürün bedelini ve kapsamlı teslim maliyetini hesaplamak için bu referansı kullanın. Son fiyat; onaylanan modeller, ambalaj ve adrese bağlıdır. Diğer varış noktaları için ayrı teklif gerekir. Referans verileri: 11 Eylül 2026 · USD 1 = CNY 6,6",
/zh-cn/screen-protectors/guides/,zh-cn,information,context-only,从中国批发采购保护膜：规格与采购指南 | DDNZ,从中国批发采购保护膜：规格与采购指南,从中国批发采购保护膜：规格与采购指南 批量采购前核对玻璃、胶层、包装和手机适配。通过价格及曲面玻璃指南整理规格，勾选需要供应商确认的项目并带入询价。 比较六组规格、实际包装内容和安装步骤。 区分玻璃形状、制造工艺及手机适配，结合团队拍摄的工厂视频了解核验重点。,
/es/screen-protectors/guides/,es,information,context-only,Compre protectores de pantalla de China: guía de especificaciones | DDNZ,Compre protectores de pantalla de China: guía de especificaciones,"Compre protectores de pantalla de China: guía de especificaciones Antes de comprar al por mayor en China, revise vidrio, adhesivo, embalaje y ajuste al teléfono. Consulte las guías de precios y vidrio curvo, seleccione las comprobaciones y añádalas a su solicitud de cotización. Compare seis grupos de especificaciones, contenido real del embalaje y pasos de instalación. Distinga forma del vidrio, fabricación y ajuste, con grabaciones de fábrica realizadas por el equipo.",
/ar/screen-protectors/guides/,ar,information,context-only,شراء واقيات الشاشة من الصين: دليل المواصفات | DDNZ,شراء واقيات الشاشة من الصين: دليل المواصفات,شراء واقيات الشاشة من الصين: دليل المواصفات قبل الشراء بالجملة من الصين، تحقق من الزجاج واللاصق والتغليف وملاءمة الهاتف. راجع دليلي الأسعار والزجاج المنحني، ثم اختر نقاط التحقق لإضافتها إلى طلب عرض السعر. قارن ست مجموعات من المواصفات ومحتويات التغليف الفعلية وخطوات التركيب. ميّز بين شكل الزجاج والتصنيع وملاءمة الهاتف، بالاستعانة بمقاطع المصنع التي صورها الفريق.,
