"locale","page","placement","copy","destination","status"
"en","/products/","H1","Wholesale products and equipment sourcing from China","","implemented"
"en","/products/","Title","Wholesale Products & Equipment from China | DDNZ","","implemented"
"en","/sourcing-services/","H1","China sourcing agent for retailers, importers and project buyers","","implemented"
"en","/sourcing-services/","Title","China Sourcing Agent & Buying Services | DDNZ","","implemented"
"en","/sourcing-services/","long-tail question","Do I need a China sourcing agent or a freight forwarder?","/how-we-work/","retained"
"en","/sourcing-services/","long-tail question","Can you inspect and consolidate goods I bought from my own suppliers?","/sourcing-services/consolidation-export/","retained"
"en","/sourcing-services/","long-tail question","What should I send for a supplier search and quotation comparison?","/sourcing-services/supplier-search/","retained"
"en","/sourcing-services/","long-tail question","Are the product price, sourcing service and shipping cost the same quotation?","/get-a-quote/?leadGoal=Product+Sourcing&source=sourcing_decisions","retained"
"zh","/zh-cn/products/","H1","从中国采购批发产品与商用设备","","implemented"
"zh","/zh-cn/products/","Title","中国产品批发采购与商用设备采购 | DDNZ","","implemented"
"zh","/zh-cn/sourcing-services/","H1","面向零售商、进口商与项目买家的中国采购代理服务","","implemented"
"zh","/zh-cn/sourcing-services/","Title","中国采购代理与供应商采购服务 | DDNZ","","implemented"
"zh","/zh-cn/sourcing-services/","long-tail question","我需要中国采购代理，还是国际货运代理？","/zh-cn/how-we-work/","rewritten"
"zh","/zh-cn/sourcing-services/","long-tail question","已经向自己的供应商下单，还能委托验货和集货吗？","/zh-cn/sourcing-services/consolidation-export/","rewritten"
"zh","/zh-cn/sourcing-services/","long-tail question","寻找中国供应商并比较报价，需要提供哪些资料？","/zh-cn/sourcing-services/supplier-search/","rewritten"
"zh","/zh-cn/sourcing-services/","long-tail question","产品价格、采购服务费和国际运费会分别列出吗？","/zh-cn/get-a-quote/?leadGoal=Product+Sourcing&source=sourcing_decisions","rewritten"
"es","/es/products/","H1","Productos al por mayor y equipos de China","","implemented"
"es","/es/products/","Title","Productos al por mayor y equipos de China | DDNZ","","implemented"
"es","/es/sourcing-services/","H1","Agente de compras en China para minoristas e importadores","","implemented"
"es","/es/sourcing-services/","Title","Agente de compras en China y búsqueda de proveedores | DDNZ","","implemented"
"es","/es/sourcing-services/","long-tail question","¿Necesito un agente de compras en China o un agente de carga?","/es/how-we-work/","rewritten"
"es","/es/sourcing-services/","long-tail question","¿Pueden inspeccionar y consolidar pedidos de mis propios proveedores?","/es/sourcing-services/consolidation-export/","rewritten"
"es","/es/sourcing-services/","long-tail question","¿Qué información necesitan para buscar proveedores en China y comparar cotizaciones?","/es/sourcing-services/supplier-search/","rewritten"
"es","/es/sourcing-services/","long-tail question","¿Se cotizan por separado el producto, las compras y el transporte internacional?","/es/get-a-quote/?leadGoal=Product+Sourcing&source=sourcing_decisions","rewritten"
"ar","/ar/products/","H1","شراء منتجات بالجملة ومعدات من الصين","","implemented"
"ar","/ar/products/","Title","منتجات بالجملة ومعدات من الصين | DDNZ","","implemented"
"ar","/ar/sourcing-services/","H1","وكيل شراء من الصين لتجار التجزئة والمستوردين","","implemented"
"ar","/ar/sourcing-services/","Title","وكيل شراء من الصين والبحث عن الموردين | DDNZ","","implemented"
"ar","/ar/sourcing-services/","long-tail question","هل أحتاج إلى وكيل شراء من الصين أم إلى وكيل شحن دولي؟","/ar/how-we-work/","rewritten"
"ar","/ar/sourcing-services/","long-tail question","هل يمكن فحص وتجميع طلبات اشتريتها من مورديّ الحاليين؟","/ar/sourcing-services/consolidation-export/","rewritten"
