"url","locale","role","audience","primary_topic","reference_owner","h1","title","scope","intro_status"
"/sourcing/food-processing-machinery-from-china/","en","product-family","food business buyers and equipment dealers","food processing machinery from China","/sourcing/food-processing-machinery-from-china/","Food processing machinery from China. Selected for your operation.","Food Processing Machinery Sourcing from China | DDNZ Global","Existing published-content candidate; no search-volume estimate","pass"
"/sourcing/food-processing-machinery-from-china/dough-and-bakery-machinery/","en","product-category","food business buyers and equipment dealers","dough & bakery machinery from China","/sourcing/food-processing-machinery-from-china/dough-and-bakery-machinery/","Dough & bakery machinery","Dough & bakery machinery from China | DDNZ Global","Existing published-content candidate; no search-volume estimate","pass"
"/sourcing/food-processing-machinery-from-china/meat-processing-machinery/","en","product-category","food business buyers and equipment dealers","meat processing machinery from China","/sourcing/food-processing-machinery-from-china/meat-processing-machinery/","Meat processing machinery","Meat processing machinery from China | DDNZ Global","Existing published-content candidate; no search-volume estimate","pass"
"/sourcing/food-processing-machinery-from-china/vegetable-processing-machinery/","en","product-category","food business buyers and equipment dealers","vegetable processing machinery from China","/sourcing/food-processing-machinery-from-china/vegetable-processing-machinery/","Vegetable processing machinery","Vegetable processing machinery from China | DDNZ Global","Existing published-content candidate; no search-volume estimate","pass"
"/sourcing/food-processing-machinery-from-china/bean-rice-and-juice-machinery/","en","product-category","food business buyers and equipment dealers","bean, rice & juice machinery from China","/sourcing/food-processing-machinery-from-china/bean-rice-and-juice-machinery/","Bean, rice & juice machinery","Bean, rice & juice machinery from China | DDNZ Global","Existing published-content candidate; no search-volume estimate","pass"
"/sourcing/food-processing-machinery-from-china/packages/noodles/","en","equipment-package","food business buyers and equipment dealers","noodle & dough preparation equipment package from China","/sourcing/food-processing-machinery-from-china/packages/noodles/","Noodle & dough preparation equipment package","Noodle & dough preparation equipment package from China | DDNZ Global","Existing published-content candidate; no search-volume estimate","pass"
"/sourcing/food-processing-machinery-from-china/packages/bakery/","en","equipment-package","food business buyers and equipment dealers","bakery preparation equipment package from China","/sourcing/food-processing-machinery-from-china/packages/bakery/","Bakery preparation equipment package","Bakery preparation equipment package from China | DDNZ Global","Existing published-content candidate; no search-volume estimate","pass"
"/sourcing/food-processing-machinery-from-china/packages/meat-prep/","en","equipment-package","food business buyers and equipment dealers","butcher & kitchen preparation equipment package from China","/sourcing/food-processing-machinery-from-china/packages/meat-prep/","Butcher & kitchen preparation equipment package","Butcher & kitchen preparation equipment package from China | DDNZ Global","Existing published-content candidate; no search-volume estimate","pass"
"/sourcing/food-processing-machinery-from-china/packages/meatballs/","en","equipment-package","food business buyers and equipment dealers","meatball preparation equipment package from China","/sourcing/food-processing-machinery-from-china/packages/meatballs/","Meatball preparation equipment package","Meatball preparation equipment package from China | DDNZ Global","Existing published-content candidate; no search-volume estimate","pass"
"/sourcing/food-processing-machinery-from-china/packages/vegetables/","en","equipment-package","food business buyers and equipment dealers","vegetable preparation equipment package from China","/sourcing/food-processing-machinery-from-china/packages/vegetables/","Vegetable preparation equipment package","Vegetable preparation equipment package from China | DDNZ Global","Existing published-content candidate; no search-volume estimate","pass"
"/sourcing/food-processing-machinery-from-china/packages/bean-rice/","en","equipment-package","food business buyers and equipment dealers","bean & rice preparation equipment package from China","/sourcing/food-processing-machinery-from-china/packages/bean-rice/","Bean & rice preparation equipment package","Bean & rice preparation equipment package from China | DDNZ Global","Existing published-content candidate; no search-volume estimate","pass"
"/sourcing/mobile-accessories-from-china/","en","product-family","mobile accessory importers","mobile accessories sourcing from China","/sourcing/mobile-accessories-from-china/","Wholesale Phone Cases & Screen Protectors from China","Mobile Accessories Sourcing from China | DDNZ Global","Existing published-content candidate; no search-volume estimate","pass"
"/es/sourcing/mobile-accessories-from-china/","es","product-family","mobile accessory importers","Accesorios móviles de China","/sourcing/mobile-accessories-from-china/","Fundas y protectores de pantalla de China al por mayor","Accesorios móviles de China | DDNZ Global","Existing published-content candidate; no search-volume estimate","pass"
"/ar/sourcing/mobile-accessories-from-china/","ar","product-family","mobile accessory importers","توريد ملحقات الهاتف من الصين","/sourcing/mobile-accessories-from-china/","أغطية هواتف وواقيات شاشة بالجملة من الصين","توريد ملحقات الهاتف من الصين | DDNZ Global","Existing published-content candidate; no search-volume estimate","pass"
"/phone-cases/","en","product-category","phone accessory sellers","wholesale phone cases from China","/phone-cases/","Choose the case. Check every detail.","Wholesale Phone Cases from China: Styles & MOQ | DDNZ","Existing published-content candidate; no search-volume estimate","pass"
"/es/phone-cases/","es","product-category","phone accessory sellers","Fundas de China al por mayor: modelos y mínimos","/phone-cases/","Elija la funda. Revise cada detalle.","Fundas de China al por mayor: modelos y mínimos | DDNZ","Existing published-content candidate; no search-volume estimate","pass"
"/ar/phone-cases/","ar","product-category","phone accessory sellers","أغطية هواتف بالجملة من الصين: التصاميم والحدود","/phone-cases/","اختر الغطاء. وافحص كل تفصيل.","أغطية هواتف بالجملة من الصين: التصاميم والحدود | DDNZ","Existing published-content candidate; no search-volume estimate","pass"
"/phone-cases/materials-and-pricing/","en","comparison-guide","buyers comparing quotations","phone case materials and prices","/phone-cases/materials-and-pricing/","Same phone. Different case. Different cost.","Phone Case Materials, Prices & Supplier Comparison | DDNZ","Existing published-content candidate; no search-volume estimate","context-only"
"/es/phone-cases/materials-and-pricing/","es","comparison-guide","buyers comparing quotations","Materiales y precios de fundas: compare proveedores","/phone-cases/materials-and-pricing/","Mismo móvil. Otra funda. Otro costo.","Materiales y precios de fundas: compare proveedores | DDNZ","Existing published-content candidate; no search-volume estimate","context-only"
"/ar/phone-cases/materials-and-pricing/","ar","comparison-guide","buyers comparing quotations","مواد وأسعار أغطية الهاتف ومقارنة الموردين","/phone-cases/materials-and-pricing/","الهاتف نفسه. غطاء مختلف. تكلفة مختلفة.","مواد وأسعار أغطية الهاتف ومقارنة الموردين | DDNZ","Existing published-content candidate; no search-volume estimate","context-only"
"/phone-straps-charms/","en","product-category","accessory and gift retailers","wholesale phone straps and charms from China","/phone-straps-charms/","More ways to carry. Clearer ways to buy.","Wholesale Phone Straps & Charms from China | DDNZ","Existing published-content candidate; no search-volume estimate","pass"
"/es/phone-straps-charms/","es","product-category","accessory and gift retailers","Correas, cadenas y adornos de móvil al por mayor","/phone-straps-charms/","Más formas de llevarlo. Más claridad al comprar.","Correas, cadenas y adornos de móvil al por mayor | DDNZ","Existing published-content candidate; no search-volume estimate","pass"
"/ar/phone-straps-charms/","ar","product-category","accessory and gift retailers","أحزمة وسلاسل وزينة الهاتف بالجملة","/phone-straps-charms/","طرق أكثر للحمل. ووضوح أكبر للشراء.","أحزمة وسلاسل وزينة الهاتف بالجملة | DDNZ Global","Existing published-content candidate; no search-volume estimate","pass"
"/es/screen-protectors/","es","product-category","accessory wholesalers","Protectores de pantalla al por mayor","/screen-protectors/","Protectores de pantalla al por mayor desde China","Protectores de pantalla al por mayor | DDNZ Global","Existing published-content candidate; no search-volume estimate","pass"
"/ar/screen-protectors/","ar","product-category","accessory wholesalers","واقيات شاشة بالجملة من الصين","/screen-protectors/","واقيات شاشة بالجملة من الصين","واقيات شاشة بالجملة من الصين | DDNZ Global","Existing published-content candidate; no search-volume estimate","pass"
"/es/screen-protectors/compare/","es","product-comparison","buyers choosing a product variant","Compare protectores de pantalla y precios","/screen-protectors/compare/","Compare precios, embalaje y cantidades mínimas","Compare protectores de pantalla y precios | DDNZ Global","Existing published-content candidate; no search-volume estimate","pass"
"/ar/screen-protectors/compare/","ar","product-comparison","buyers choosing a product variant","مقارنة واقيات الشاشة وأسعار الجملة","/screen-protectors/compare/","قارن الأسعار والتغليف والحد الأدنى للطلب","مقارنة واقيات الشاشة وأسعار الجملة | DDNZ Global","Existing published-content candidate; no search-volume estimate","pass"
"/sourcing/kitchen-equipment-for-distributors/","en","buyer-type","equipment distributors","kitchen equipment sourcing for distributors","/sourcing/kitchen-equipment-for-distributors/","Build a range your customers can buy again.","Kitchen Equipment for Distributors | China Sourcing | DDNZ","Existing published-content candidate; no search-volume estimate","pass"
"/es/sourcing/kitchen-equipment-for-distributors/","es","buyer-type","equipment distributors","Equipos de cocina para distribuidores desde China","/sourcing/kitchen-equipment-for-distributors/","Una línea de equipos que sus clientes puedan volver a comprar.","Equipos de cocina para distribuidores desde China | DDNZ","Existing published-content candidate; no search-volume estimate","pass"
"/ar/sourcing/kitchen-equipment-for-distributors/","ar","buyer-type","equipment distributors","توريد معدات المطابخ للموزعين من الصين","/sourcing/kitchen-equipment-for-distributors/","كوّن تشكيلة يعود عملاؤك لشرائها.","توريد معدات المطابخ للموزعين من الصين | DDNZ Global","Existing published-content candidate; no search-volume estimate","pass"
"/sourcing/restaurant-project-equipment/","en","buyer-type","restaurant project contractors","restaurant project equipment from China","/sourcing/restaurant-project-equipment/","Turn an equipment list into a coordinated order.","Restaurant Project Equipment from China | DDNZ Global","Existing published-content candidate; no search-volume estimate","pass"
"/es/sourcing/restaurant-project-equipment/","es","buyer-type","restaurant project contractors","Equipos para proyectos de restaurantes desde China","/sourcing/restaurant-project-equipment/","De una lista de equipos a una compra coordinada.","Equipos para proyectos de restaurantes desde China | DDNZ","Existing published-content candidate; no search-volume estimate","pass"
