"language","landing_page","anchor","heading","question"
"en","/sourcing/restaurant-project-equipment/","restaurant-startup","Low-budget restaurant startup: essential equipment from China","Can I start a small takeaway or cloud kitchen with fewer machines?"
"en","/sourcing/restaurant-project-equipment/","kitchen-budget","What is the cheapest workable commercial kitchen equipment package?","Can you quote an affordable kitchen package against my budget?"
"en","/screen-protectors/wholesale-for-stores/","retail-privacy","Privacy screen protector sourcing from China for retailers","Which privacy screen protector supplier suits a new phone shop?"
"en","/sourcing/mobile-accessories-from-china/","accessory-startup","Starting a phone accessories business: a first-order plan from China","Can I combine phone cases, straps and privacy protectors in a small starter order?"
"en","/sourcing/restaurant-project-equipment/","small-cafe-budget","Small café startup: low-cost equipment sourcing from China","Can I open a small café with an entry-level equipment package?"
"en","/sourcing/restaurant-project-equipment/","bar-equipment-budget","Low-budget bar and cocktail bar equipment from China","How can I reduce the initial cost of a cocktail bar?"
"en","/sourcing/audio-speakers-from-china/","party-speaker-budget","Finding the cheapest suitable Bluetooth party speaker supplier in China","Can you find the cheapest Bluetooth party speakers for resale?"
"en","/phone-cases/","marketplace-seller-startup","Low-cost phone-case ecommerce startup: sourcing for Noon, Amazon and Jumia sellers","Can I start selling phone cases on Noon, Amazon or Jumia with a small order?"
"zh","/zh-cn/sourcing/restaurant-project-equipment/","restaurant-startup","餐饮创业低成本起步：从中国采购开业必需设备","小型外卖店或云厨房能否少买几台设备起步？"
"zh","/zh-cn/sourcing/restaurant-project-equipment/","kitchen-budget","怎样选择预算内最省钱、又能实际使用的厨房设备方案？","可以按预算报价低成本厨房设备组合吗？"
"zh","/zh-cn/screen-protectors/wholesale-for-stores/","retail-privacy","适合零售商的手机防窥膜：中国采购与供应商选择","哪种防窥膜供应方案适合新开的手机店？"
"zh","/zh-cn/sourcing/mobile-accessories-from-china/","accessory-startup","手机配件创业方案：从中国规划首批选品","能否把手机壳、挂绳和防窥膜组合成小额创业订单？"
"zh","/zh-cn/sourcing/restaurant-project-equipment/","small-cafe-budget","小型咖啡店低成本起步：从中国采购基础设备","小咖啡店能否用入门设备组合开业？"
"zh","/zh-cn/sourcing/restaurant-project-equipment/","bar-equipment-budget","低成本酒吧与调酒吧设备采购方案","怎样降低调酒吧的第一批设备投入？"
"zh","/zh-cn/sourcing/audio-speakers-from-china/","party-speaker-budget","怎样寻找价格更低、配置合适的中国蓝牙派对音箱供应商？","能否找到最便宜的蓝牙派对音箱用于转售？"
