"owner","level","phrase","evidence","monthly_volume"
"/sourcing/food-processing-machinery-from-china/","head","food processing machinery from China","editorial query hypothesis; validate against page and GSC","unknown"
"/sourcing/food-processing-machinery-from-china/","mid","source food processing machinery from China","editorial query hypothesis; validate against page and GSC","unknown"
"/sourcing/food-processing-machinery-from-china/","mid","buy food processing machinery from China","editorial query hypothesis; validate against page and GSC","unknown"
"/sourcing/food-processing-machinery-from-china/","long","compare food processing machinery models and wholesale prices","editorial query hypothesis; validate against page and GSC","unknown"
"/sourcing/food-processing-machinery-from-china/","long","packing and configuration for food processing machinery","editorial query hypothesis; validate against page and GSC","unknown"
"/sourcing/food-processing-machinery-from-china/dough-and-bakery-machinery/","head","dough & bakery machinery from China","editorial query hypothesis; validate against page and GSC","unknown"
"/sourcing/food-processing-machinery-from-china/dough-and-bakery-machinery/","mid","source dough & bakery machinery from China","editorial query hypothesis; validate against page and GSC","unknown"
"/sourcing/food-processing-machinery-from-china/dough-and-bakery-machinery/","mid","buy dough & bakery machinery from China","editorial query hypothesis; validate against page and GSC","unknown"
"/sourcing/food-processing-machinery-from-china/dough-and-bakery-machinery/","long","compare dough & bakery machinery models and wholesale prices","editorial query hypothesis; validate against page and GSC","unknown"
"/sourcing/food-processing-machinery-from-china/dough-and-bakery-machinery/","long","packing and configuration for dough & bakery machinery","editorial query hypothesis; validate against page and GSC","unknown"
"/sourcing/food-processing-machinery-from-china/meat-processing-machinery/","head","meat processing machinery from China","editorial query hypothesis; validate against page and GSC","unknown"
"/sourcing/food-processing-machinery-from-china/meat-processing-machinery/","mid","source meat processing machinery from China","editorial query hypothesis; validate against page and GSC","unknown"
"/sourcing/food-processing-machinery-from-china/meat-processing-machinery/","mid","buy meat processing machinery from China","editorial query hypothesis; validate against page and GSC","unknown"
"/sourcing/food-processing-machinery-from-china/meat-processing-machinery/","long","compare meat processing machinery models and wholesale prices","editorial query hypothesis; validate against page and GSC","unknown"
"/sourcing/food-processing-machinery-from-china/meat-processing-machinery/","long","packing and configuration for meat processing machinery","editorial query hypothesis; validate against page and GSC","unknown"
"/sourcing/food-processing-machinery-from-china/vegetable-processing-machinery/","head","vegetable processing machinery from China","editorial query hypothesis; validate against page and GSC","unknown"
