category,product,configuration,alibaba_product_id,source_url,image_url,checked_at,sales_status
1,1,TWS in-ear earbuds,1601360164923,https://www.alibaba.com/product-detail/Best-Seller-Z40-TWS-Earbuds-with_1601360164923.html,https://s.alicdn.com/@sc04/kf/H0387a86230664f4dbb678621f93e3a45j.png_300x300.jpg,2026-09-24,Not verified for this exact offer; no bestseller badge
1,2,Open-fit TWS earbuds,1601917936441,https://www.alibaba.com/product-detail/Smartlike-KW11-TWS-Semi-in-Ear_1601917936441.html,https://s.alicdn.com/@sc04/kf/H8fcedd3ab4fb4ce48352d0b67da29a7d4.jpg_300x300.jpg,2026-09-24,Not verified for this exact offer; no bestseller badge
1,3,ANC earbuds,1600489432051,https://www.alibaba.com/product-detail/Remax-Gaming-In-Ear-Earphones-Bluetooth_1600489432051.html,https://s.alicdn.com/@sc04/kf/H3808a2d12efd467d9a2650aa44266d70X.jpg_300x300.jpg,2026-09-24,Not verified for this exact offer; no bestseller badge
1,4,Earbuds with a display case,1601439735217,https://www.alibaba.com/product-detail/US-Warehouse-F9-Led-Digital-Display_1601439735217.html,https://s.alicdn.com/@sc04/kf/H621bae8c66814169b92926bfdfd2744cp.jpg_300x300.jpg,2026-09-24,Not verified for this exact offer; no bestseller badge
1,5,Sports ear-hook earbuds,270130769,https://www.alibaba.com/product-detail/Upgraded-IPX7-Waterproof-Bluetooth-Headphones-Sport_270130769.html,https://s.alicdn.com/@sc04/kf/H5a44e5f26dd7450c99bba94b05022821X.jpg_300x300.jpg,2026-09-24,Not verified for this exact offer; no bestseller badge
1,6,Open-ear clip earbuds,1601938581968,https://www.alibaba.com/product-detail/Ultimate-Wireless-Bluetooth-5-4-Open_1601938581968.html,https://s.alicdn.com/@sc04/kf/H3efb6d38bb144f2f9c34f48e4f2ccf7bv.jpg_300x300.jpg,2026-09-24,Not verified for this exact offer; no bestseller badge
1,7,Foldable wireless headphones,1601304384899,https://www.alibaba.com/product-detail/P47-Wireless-Headphones-Over-Ear-Headset_1601304384899.html,https://s.alicdn.com/@sc04/kf/Hca775516f5424d09b9e2e024cc6e15b2d.jpg_300x300.jpg,2026-09-24,Not verified for this exact offer; no bestseller badge
1,8,Over-ear ANC headphones,1601503779992,https://www.alibaba.com/product-detail/Wireless-Active-Noise-Cancelling-Headphones-Over_1601503779992.html,https://s.alicdn.com/@sc04/kf/H9efd63c5b29e44279c934011aaf82388Z.jpg_300x300.jpg,2026-09-24,Not verified for this exact offer; no bestseller badge
1,9,Wired USB-C earbuds,1601598621636,https://www.alibaba.com/product-detail/Hot-Selling-1-2M-Grey-USB_1601598621636.html,https://s.alicdn.com/@sc04/kf/Hd6e4bba8c4e441d798f7a8290a5b3a01O.png_300x300.jpg,2026-09-24,Not verified for this exact offer; no bestseller badge
1,10,3.5 mm gaming headset,62240582839,https://www.alibaba.com/product-detail/KOTION-EACH-G9000-Deep-Bass-Stereo_62240582839.html,https://s.alicdn.com/@sc04/kf/H6f4e84753dc14c15b5423933bf21d0937.jpg_300x300.jpg,2026-09-24,Not verified for this exact offer; no bestseller badge
1,11,USB gaming headset,1601431192853,https://www.alibaba.com/product-detail/FANTECH-HG30-Wired-USB-Gaming-Headset_1601431192853.html,https://s.alicdn.com/@sc04/kf/H39d729121c78490996a2f57131870d23S.png_300x300.jpg,2026-09-24,Not verified for this exact offer; no bestseller badge
1,12,2.4 GHz wireless gaming headset,1601470105982,https://www.alibaba.com/product-detail/ONIKUMA-GT826-Tri-mode-Stereo-2_1601470105982.html,https://s.alicdn.com/@sc04/kf/H3d26b1ac604a4ea8ba819edb324a8940W.jpg_300x300.jpg,2026-09-24,Not verified for this exact offer; no bestseller badge
2,1,USB-powered 2.0 speakers,60119671422,https://www.alibaba.com/product-detail/High-quality-active-computer-cheap-mini_60119671422.html,https://s.alicdn.com/@sc04/kf/HTB1oSa0XXP7gK0jSZFjq6A5aXXaI.jpg_300x300.jpg,2026-09-24,Not verified for this exact offer; no bestseller badge
2,2,USB digital-audio speakers,1601851780209,https://www.alibaba.com/product-detail/Bluetooth-PC-Speaker-40W-PC-Soundbar_1601851780209.html,https://s.alicdn.com/@sc04/kf/Hc9bf18f882134d26b46e9462a39427aaN.jpg_300x300.jpg,2026-09-24,Not verified for this exact offer; no bestseller badge
2,3,Compact under-monitor soundbar,1600513554599,https://www.alibaba.com/product-detail/Long-Strip-Desktop-Audio-Notebook-Computer_1600513554599.html,https://s.alicdn.com/@sc04/kf/Hb2d3ba041b5f4675a51d145dd7ccfabeR.png_300x300.jpg,2026-09-24,Not verified for this exact offer; no bestseller badge
